language, "english", "russian", "polish", "czech", "serbocroatian", "slovak", "german", "french", "spanish", "italian"

"str/css/locale/lang-abbr", "EN", "RU", "PL", "CZ", "RS", "SK", "DE", "FR", "ES", "IT"
"str/css/locale/lang", "English", "Russian", "Polish", "Czech", "SerboCroatian", "Slovak", "German", "French", "Spanish", "Italian"

"str/css/locale/ante-meridiem", "a.m.", "AM", "a.m.", "AM", "AM", "AM", "AM", "AM", "AM", "AM"
"str/css/locale/post-meridiem", "p.m.", "PM", "p.m.", "PM", "PM", "PM", "PM", "PM", "AM", "AM"

"str/css/locale/month-1", "January", "Январь", "Styczen", "Leden", "Јануар", "Januar", "Januar", "Janvier", "Enero", "Gennaio"
"str/css/locale/month-2", "February", "Февраль", "Luty", "Unor", "Фебруар", "Februar", "Februar", "Fevrier", "Febrero", "Febbraio"
"str/css/locale/month-3", "March", "Март", "Marzec", "Brezen", "Март", "Marec", "Marz", "Mars", "Marzo", "Marzo"
"str/css/locale/month-4", "April", "Апрель", "Kwiecien", "Duben", "Април", "April", "April", "Avril", "Abril", "Aprile"
"str/css/locale/month-5", "May", "Май", "Maj", "Kveten", "Мај", "Maj", "Mai", "Mai", "Mayo", "Maggio"
"str/css/locale/month-6", "June", "Июнь", "Czerwiec", "Cerven", "Јуни", "Jun", "Juni", "Juin", "Junio", "Giugno"
"str/css/locale/month-7", "July", "Июль", "Lipiec", "Cervenec", "Јули", "Jul", "Juli", "Juillet", "Julio", "Luglio"
"str/css/locale/month-8", "August", "Август", "Sierpien", "Srpen", "Август", "August", "August", "Aout", "Agosto", "Agosto"
"str/css/locale/month-9", "September", "Сентябрь", "Wrzesien", "Zari", "Септембар", "September", "September", "Septembre", "Septiembre", "Settembre"
"str/css/locale/month-10", "October", "Октябрь", "Pazdziernik", "Rijen", "Октобар", "Oktober", "Oktober", "Octobre", "Octubre", "Ottobre"
"str/css/locale/month-11", "November", "Ноябрь", "Listopad", "Listopad", "Новембар", "November", "November", "Novembre", "Noviembre", "Novembre"
"str/css/locale/month-12", "December", "Декабрь", "Grudzien", "Prosinec", "Децембар", "December", "Dezember", "Decembre", "Diciembre", "Dicembre"

"str/css/locale/month-1-genitive", "january", "января", "styczen", "leden", "јануара", "januara", "januar", "janvier", "enero", "gennaio"
"str/css/locale/month-2-genitive", "february", "февраля", "luty", "unor", "фебруара", "februara", "februar", "fevrier", "febrero", "febbraio"
"str/css/locale/month-3-genitive", "march", "марта", "marzec", "brezen", "марта", "marca", "marz", "mars", "marzo", "marzo"
"str/css/locale/month-4-genitive", "april", "апреля", "kwiecien", "duben", "априла", "aprila", "april", "avril", "abril", "aprile"
"str/css/locale/month-5-genitive", "may", "мая", "maj", "kveten", "мај", "maja", "mai", "mai", "mayo", "maggio"
"str/css/locale/month-6-genitive", "june", "июня", "czerwiec", "cerven", "јуна", "juna", "juni", "juin", "junio", "giugno"
"str/css/locale/month-7-genitive", "july", "июля", "lipiec", "cervenec", "јула", "jula", "juli", "juillet", "julio", "luglio"
"str/css/locale/month-8-genitive", "august", "августа", "sierpien", "srpen", "августа", "augusta", "august", "aout", "agosto", "agosto"
"str/css/locale/month-9-genitive", "september", "сентября", "wrzesien", "zari", "септембра", "septembra", "september", "septembre", "septiembre", "settembre"
"str/css/locale/month-10-genitive", "october", "октября", "pazdziernik", "rijen", "октобра", "oktobra", "oktober", "octobre", "octubre", "ottobre"
"str/css/locale/month-11-genitive", "november", "ноября", "listopad", "listopad", "новембра", "novembra", "november", "novembre", "noviembre", "novembre"
"str/css/locale/month-12-genitive", "december", "декабря", "grudzien", "prosinec", "децембра", "decembra", "dezember", "decembre", "diciembre", "dicembre"
